Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Dietary,Type_of_meal,Genre,Class,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12
15,Mr._Bacon_Beignet,Mr._Bacon_Beignet.jpg,Beignet/Mr._Bacon_Beignet.jpg,15,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$6.00,,,"Breakfast, Lunch","French, Cajun","Breakfast, Bread",bacon,bread,beignet,eggs,cheddar,gouda,cajun,,,,,
16,Nutella_and_Banana_Beignet,Nutella_and_Banana_Beignet.jpg,Beignet/Nutella_and_Banana_Beignet.jpg,16,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$4.00,,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet ,bread,beignet,donut,powdered sugar,nutella,bananas,,,,,
17,Peaches_and_Brie_Bacon_Beignet,Peaches_and_Brie_Bacon_Beignet.jpg,Beignet/Peaches_and_Brie_Bacon_Beignet.jpg,17,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$6.00,,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet ,bread,beignet,donut,peaches,brie,powdered sugar,,,,,
18,Pork_Boudin,Pork_Boudin.jpg,Beignet/Pork_Boudin.jpg,18,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$9.50,,,Lunch,"French, Cajun",Appetizer,bread,Remoulade,pork,,,,,,,,,
19,Raspberry_Rhubarb_Cheesecake_Beignet_,Raspberry_Rhubarb_Cheesecake_Beignet_.jpg,Beignet/Raspberry_Rhubarb_Cheesecake_Beignet_.jpg,19,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$4.00,,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet ,bread,beignet,donut,powdered sugar,raspberries,rhubarbs,cheesecake,,,,
20,Seasalt_Caramel_and_Banana_Beignet,Seasalt_Caramel_and_Banana_Beignet.jpg,Beignet/Seasalt_Caramel_and_Banana_Beignet.jpg,20,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$4.00,,,"Breakfast, Dessert","Breakfast, Dessert, French","Breakfast, Dessert, Bakery",sweet ,bread,beignet,donut,powdered sugar,caramel,bananas,,,,,
21,Shrimp_Scampi_Grits,Shrimp_Scampi_Grits.jpg,Beignet/Shrimp_Scampi_Grits.jpg,21,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$9.50,,,"Breakfast, lunch","Breakfast, Cajun",Breakfast,shrimp,grits,cajun,butter,,,,,,,,
22,Signature_7_cheese_Macaroni,Signature_7_cheese_Macaroni.jpg,Beignet/Signature_7_cheese_Macaroni.jpg,22,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$9.95,,,Lunch,Italian,Pasta,noodles,cheese,cream,mac and cheese,,,,,,,,
23,Veg_Head_Crepe,Veg_Head_Crepe.jpg,Beignet/Veg_Head_Crepe.jpg,23,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$9.95,,,Lunch,French,substitute Meats,tofu,spinach,artichokes,tomatoes,honey,goat cheese,crepe,bread,,,,
24,Waldorf_Beignet,Waldorf_Beignet.jpg,Beignet/Waldorf_Beignet.jpg,24,"307 Main St, Kansas City, MO 64105",64105,Beignet,0,8164720777,$6.00,,,"breakfast, lunch",French,bread,savory,sweet,beignet,chicken,cinnamon apples,blue cheese,pecans,,,,,
25,12oz Skirt Steak,12oz_Skirt_Steak.jpg,Brady_s_Public_House/12oz_Skirt_Steak.jpg,25,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$18.00,,,Lunch,American,Meats,steak,beef,fries,ketchup,peppercorn sauce,savory,,,,,,
26,Bacon Deviled Eggs,Bacon_Deviled_Eggs.jpg,Brady_s_Public_House/Bacon_Deviled_Eggs.jpg,26,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$6.00,,,Lunch,American,Appetizer,eggs,deviled eggs,mustard,bacon,pickles,,,,,,,
27,Baked Rack of Lamb,Baked_Rack_of_Lamb.jpg,Brady_s_Public_House/Baked_Rack_of_Lamb.jpg,27,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$25.00,,,Lunch,American,Meats,herbs,mint sauce,mashed potatoes,lamb,savory,,,,,,,
28,Baked Rack of Lamb,Baked_Rack_of_Lamb1.jpg,Brady_s_Public_House/Baked_Rack_of_Lamb1.jpg,28,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$25.00,,,Lunch,American,Meats,herbs,mint sauce,mashed potatoes,lamb,savory,,,,,,,
29,Banana Foster French Toast,Banana_Foster_French_Toast.jpg,Brady_s_Public_House/Banana_Foster_French_Toast.jpg,29,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$12.00,,,Breakfast,Breakfast,Breakfast,brioche,bread,bananas,banana sauce,powdered sugar,sweet,,,,,,
30,Banoffee Pie,Banoffee_Pie.jpg,Brady_s_Public_House/Banoffee_Pie.jpg,30,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$7.00,,,Dessert,Dessert,Dessert,pie,toffee,bananas,cream,almonds,chocolate,sauce,whipped cream,sweet,,,
31,Black and Blue Burger,Black_and_Blue_Burger.jpg,Brady_s_Public_House/Black_and_Blue_Burger.jpg,31,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$13.00,,,Lunch,American,Burger,bread,beef,buns,lettuce,tomatoes,pickles,fries,blue cheese,cajun,spices,,
32,Brady's Cinnamon Apple Bread Pudding,Brady_s_Cinnamon_Apple_Bread_Pudding.jpg,Brady_s_Public_House/Brady_s_Cinnamon_Apple_Bread_Pudding.jpg,32,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$7.00,,,Dessert,Dessert,Dessert,pudding,bread pudding,bailey's cream,cream,sweet,,,,,,,
33,Corn Beef Hash,Corn_Beef_Hash.jpg,Brady_s_Public_House/Corn_Beef_Hash.jpg,33,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$12.00,,,Breakfast,English,Breakfast,corn beef,potatoes,onions,eggs,toast,bread,,,,,,
34,Crab Cake Salad,Crab_Cake_Salad.jpg,Brady_s_Public_House/Crab_Cake_Salad.jpg,34,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$13.00,,,Lunch,American,Salad,crab,tartar sauce,peppers,lettuce,tomatoes,lemons,,,,,,
35,Crab Cakes,Crab_Cakes.jpg,Brady_s_Public_House/Crab_Cakes.jpg,35,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$12.00,,,Lunch,American,Appetizer,crab,tartar sauce,,,,,,,,,,
36,Curry Spiced Fries,Curry_Spiced_Fries.jpg,Brady_s_Public_House/Curry_Spiced_Fries.jpg,36,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$5.00,,,Lunch,American,Appetizer,curry,spices,fries,limes,aioli,,,,,,,
37,Fried Chicken,Fried_Chicken.jpg,Brady_s_Public_House/Fried_Chicken.jpg,37,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$17.00,,,Lunch,American,Meats,fried,chicken,greasy,maple,lemon pepper,butter,potatoes,green beans,,,,
38,Grilled Salmon,Grilled_Salmon.jpg,Brady_s_Public_House/Grilled_Salmon.jpg,38,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$19.00,,,Lunch,American,Meats,fish,salmon,herbs,potatoes,squash,whiskey,mustard,glaze,,,,
39,Grilled Salmon,Grilled_Salmon1.jpg,Brady_s_Public_House/Grilled_Salmon1.jpg,39,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$19.00,,,Lunch,American,Meats,fish,salmon,herbs,potatoes,squash,whiskey,mustard,glaze,,,,
40,Guinness Brownie Parfait,Guinness_Brownie_Parfait.jpg,Brady_s_Public_House/Guinness_Brownie_Parfait.jpg,40,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$7.00,,,Dessert,Dessert,Dessert,chocolate,parfait,mousse,bacon,pecans,sweet,,,,,,
41,Heath Bar Cheesecake,Heath_Bar_Cheesecake.jpg,Brady_s_Public_House/Heath_Bar_Cheesecake.jpg,41,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$7.00,,,Dessert,Dessert,Dessert,chocolate,cheesecake,cream,whipped cream,heath,sweet,,,,,,
42,Homemade Irish Scones,Homemade_Irish_Scones.jpg,Brady_s_Public_House/Homemade_Irish_Scones.jpg,42,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$6.00,,,Lunch,English,Appetizer,scones,bread,berries,jam,whipped cream,sweet,,,,,,
43,Irish Coffee Pie,Irish_Coffe_Pie.jpg,Brady_s_Public_House/Irish_Coffe_Pie.jpg,43,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$7.00,,,Dessert,Dessert,Dessert,sweet ,pie,coffee,chocolate,caramel,whipped cream,,,,,,
44,Irish Sausage Rolls,Irish_Sausage_Rolls.jpg,Brady_s_Public_House/Irish_Sausage_Rolls.jpg,44,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$8.00,,,Lunch,English,Appetizer,pork,sausage,pastries,,,,,,,,,
45,Loaded Potato Chips,Loaded_Potato_Chips.jpg,Brady_s_Public_House/Loaded_Potato_Chips.jpg,45,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$8.00,,,Lunch,American,Appetizer,chips,cheese,jalapenos,bacon,green onions,cheese sauce,nachos,,,,,
46,Pineapple Custard,Pineapple_Custard.jpg,Brady_s_Public_House/Pineapple_Custard.jpg,46,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$7.00,,,Dessert,Dessert,Dessert,pineapple,pie,custard,chocolate,whipped cream,sweet,,,,,,
47,Salmon Deviled Eggs,Salmon_Deviled_Eggs.jpg,Brady_s_Public_House/Salmon_Deviled_Eggs.jpg,47,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$6.00,,,Lunch,American,Appetizer,eggs,deviled eggs,salmon,mustard,,,,,,,,
48,Skotch Egg,Skotch_Egg.jpg,Brady_s_Public_House/Skotch_Egg.jpg,48,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$5.00,,,Lunch,English,Appetizer,eggs,bread,fried,pork,sausage,mustard,,,,,,
49,Skotch Egg,Skotch_Egg1.jpg,Brady_s_Public_House/Skotch_Egg1.jpg,49,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$5.00,,,Lunch,English,Appetizer,eggs,bread,fried,pork,sausage,mustard,,,,,,
50,Steak and Guinness Pie,Steak_and_Guinness_Pie.jpg,Brady_s_Public_House/Steak_and_Guinness_Pie.jpg,50,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$15.00,,,Lunch,English,Misc,bread,steak,beef,savory,carrots,onions,celery,mushrooms,sauce,guinness,pastries,pie
51,Summer Fruit Pie,Summer_Fruit_Pie.jpg,Brady_s_Public_House/Summer_Fruit_Pie.jpg,51,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$7.00,,,Dessert,Dessert,Dessert,pie,fruits,berries,sweet,powdered sugar,,,,,,,
52,The Fisherman Pie,The_Fisherman_Pie.jpg,Brady_s_Public_House/The_Fisherman_Pie.jpg,52,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$16.00,,,Lunch,English,Misc,pie,fish,salmon,cod,shrimp,mussels,cream sauce,sauce,pastries,,,
53,The Irishman Sandwich,The_Irishman_Sandwich.jpg,Brady_s_Public_House/The_Irishman_Sandwich.jpg,53,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$12.00,,,Lunch,English,Sandwich,bread,corn beef,beef,onions,cheddar,whiskey,guinness,mustard,,,,
54,Traditional Cottage Pie,Traditional_Cottage_Pie.jpg,Brady_s_Public_House/Traditional_Cottage_Pie.jpg,54,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$14.00,,,Lunch,English,Misc,pie,beef,carrots,onions,celery,peas,mustard,potatoes,mashed potatoes,,,
55,Traditional Cottage Pie,Traditional_Cottage_Pie1.jpg,Brady_s_Public_House/Traditional_Cottage_Pie1.jpg,55,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$14.00,,,Lunch,English,Misc,pie,beef,carrots,onions,celery,peas,mustard,potatoes,mashed potatoes,,,
56,Traditional Fish and Chips,Traditional_Fish_and_Chips.jpg,Brady_s_Public_House/Traditional_Fish_and_Chips.jpg,56,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$16.00,,,Lunch,English,Meats,fish,fried,fries,peas,battered,slaw,,,,,,
57,Traditional Fish and Chips,Traditional_Fish_and_Chips1.jpg,Brady_s_Public_House/Traditional_Fish_and_Chips1.jpg,57,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$16.00,,,Lunch,English,Meats,fish,fried,fries,peas,battered,slaw,,,,,,
58,Beef Fried Rice,Beef_Fried_Rice.jpg,China_One_Express/Beef_Fried_Rice.jpg,58,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$6.95,6812309,,Lunch,Chinese,Rice dish,beef,rice,fried,onions,,,,,,,,
59,Beef with Broccoli Lunch Special,Beef_with_Broccoli.jpg,China_One_Express/Beef_with_Broccoli.jpg,59,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$6.75,9196162,,Lunch,Chinese,Meats,Beef,broccoli,rice,sauce,,,,,,,,
60,Beef with Broccoli All Day Combo Dinner,Beef_with_Broccoli.jpg,China_One_Express/Beef_with_Broccoli.jpg,60,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$8.75,6818158,,Lunch,Chinese,Meats,Beef,broccoli,rice,sauce,crab rangoons,fried,,,,,,
61,Bo Bo Platter,Bo_Bo_Platter.jpg,China_One_Express/Bo_Bo_Platter.jpg,61,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$11.95,6812251,,Lunch,Chinese,Appetizer,fried,greasy,egg rolls,wontons,wings,ribs,BBQ,,,,,
62,Chicken with Cashew Nuts All Day Combo Dinner,Cashew_Chicken.jpg,China_One_Express/Cashew_Chicken.jpg,62,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$8.75,6812653,,Lunch,Chinese,Meats,chicken,cashews,rice,sauce,crab rangoons,fried,vegetables,,,,,
63,Chicken and Eggplant with Garlic Sauce,Chicken_and_Eggplant_with_Garlic_Sauce.jpg,China_One_Express/Chicken_and_Eggplant_with_Garlic_Sauce.jpg,63,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$10.95,9196135,,Lunch,Chinese,rice dish,chicken,eggplants,garlic,sauce,spicy,rice,,,,,,
64,Chicken Egg Roll,Chicken_Egg_Roll.jpg,China_One_Express/Chicken_Egg_Roll.jpg,64,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$3.80,9196133,,Lunch,Chinese,Appetizer,fried,greasy,egg rolls,chicken,,,,,,,,
65,Chicken Lo Mein,Chicken_Lo_Mein.jpg,China_One_Express/Chicken_Lo_Mein.jpg,65,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$6.95,6812475,,Lunch,Chinese,pasta,chicken,noodles,onions,,,,,,,,,
66,Chicken with Broccoli All Day Combo Dinner,Chicken_with_Broccoli.jpg,China_One_Express/Chicken_with_Broccoli.jpg,66,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$8.75,6818141,,Lunch,Chinese,meats,chicken,broccoli,rice,carrots,sauce,,,,,,,
67,Crab Rangoons,Crab_Rangoons.jpg,China_One_Express/Crab_Rangoons.jpg,67,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$5.25,6812197,,Lunch,Chinese,Appetizer,fried,greasy,crab rangoons,,,,,,,,,
68,Edamame,Edamame.jpg,China_One_Express/Edamame.jpg,68,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$5.99,9196130,,Lunch,Chinese,Appetizer,edamame,soybeans,steamed,,,,,,,,,
69,General Tso's Chicken Lunch Special,General_Tso_s_Chicken.jpg,China_One_Express/General_Tso_s_Chicken.jpg,69,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$6.45,9196148,,Lunch,Chinese,meats,chicken,broccoli,sauce,spicy,general tso's,,,,,,,
70,General Tso's Chicken All Day Combo Dinner,General_Tso_s_Chicken.jpg,China_One_Express/General_Tso_s_Chicken.jpg,70,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$8.75,6818145,,Lunch,Chinese,meats,chicken,broccoli,sauce,spicy,general tso's,,,,,,,
71,House Special Lo Mein,House_Special_Lo_Mein.jpg,China_One_Express/House_Special_Lo_Mein.jpg,71,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$9.75,6812523,,Lunch,Chinese,pasta,beef,chicken,shrimp,noodles,sauce,vegetables,carrots,,,,,
72,Hunan Chicken Lunch Special,Hunan_Chicken.jpg,China_One_Express/Hunan_Chicken.jpg,72,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$6.45,9196159,,Lunch,Chinese,meats,chicken,sauce,rice,peppers,vegetables,hunan,,,,,,
73,Hunan Chicken,Hunan_Chicken.jpg,China_One_Express/Hunan_Chicken.jpg,73,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$9.60,6812683,,Lunch,Chinese,meats,chicken,sauce,rice,peppers,vegetables,hunan,,,,,,
74,Kung Pao Chicken Lunch Special,Kung_Pao_Chicken.jpg,China_One_Express/Kung_Pao_Chicken.jpg,74,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$6.45,9196151,,Lunch,Chinese,meats,chicken,sauce,rice,spicy,,,,,,,,
75,Kung Pao Chicken,Kung_Pao_Chicken.jpg,China_One_Express/Kung_Pao_Chicken.jpg,75,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$9.60,6812673,,Lunch,Chinese,meats,chicken,sauce,rice,spicy,,,,,,,,
76,Mandarin Combo,Mandarin_Combo.jpg,China_One_Express/Mandarin_Combo.jpg,76,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$11.95,6813124,,Lunch,Chinese,meats,chicken,shrimp,vegetables,sauce,beef,broccoli,potatoes,baby corn,peas,,,
77,Mongolian Beef Lunch Special,Mongolian_Beef.jpg,China_One_Express/Mongolian_Beef.jpg,77,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$6.75,9196164,,Lunch,Chinese,meats,beef,sauce,vegetables,onions,savory,,,,,,,
78,Mongolian Beef,Mongolian_Beef.jpg,China_One_Express/Mongolian_Beef.jpg,78,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$10.25,6812740,,Lunch,Chinese,meats,beef,sauce,vegetables,onions,savory,,,,,,,
79,Orange Chicken Lunch Special,Orange_Chicken.jpg,China_One_Express/Orange_Chicken.jpg,79,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$6.45,9196158,,Lunch,Chinese,meats,chicken,sauce,rice,orange,spicy,broccoli,,,,,,
80,Orange Chicken,Orange_Chicken.jpg,China_One_Express/Orange_Chicken.jpg,80,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$10.95,6813052,,Lunch,Chinese,meats,chicken,sauce,rice,orange,spicy,broccoli,,,,,,
81,Pepper Steak with Onions Lunch Special,Pepper_Steak_with_Onions.jpg,China_One_Express/Pepper_Steak_with_Onions.jpg,81,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$6.75,9196163,,Lunch,Chinese,meats,beef,peppers,vegetables,onions,sauce,broccoli,,,,,,
82,Pepper Steak with Onions ,Pepper_Steak_with_Onions.jpg,China_One_Express/Pepper_Steak_with_Onions.jpg,82,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$8.75,6818160,,Lunch,Chinese,meats,beef,peppers,vegetables,onions,sauce,broccoli,,,,,,
83,Pork Egg Roll,Pork_Egg_Roll.jpg,China_One_Express/Pork_Egg_Roll.jpg,83,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$2.80,6812187,,Lunch,Chinese,Appetizer,fried,greasy,egg rolls,pork,,,,,,,,
84,Princess Chicken All Day Combo Dinner,Princess_Chicken.jpg,China_One_Express/Princess_Chicken.jpg,84,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$8.75,6818155,,Lunch,Chinese,meats,chicken,sauce,rice,spicy,green onions,princess,,,,,,
85,Sautéed Mixed Vegetables Lunch Special,Sauteed_Mixed_Vegetables.jpg,China_One_Express/Sauteed_Mixed_Vegetables.jpg,85,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$6.45,9196179,,Lunch,Chinese,Vegetables,broccoli,carrots,peas,Cauliflower,baby corn,,,,,,,
86,Sautéed Mixed Vegetables All Day Combo Dinner,Sauteed_Mixed_Vegetables.jpg,China_One_Express/Sauteed_Mixed_Vegetables.jpg,86,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$8.75,6818167,,Lunch,Chinese,Vegetables,broccoli,carrots,peas,Cauliflower,baby corn,,,,,,,
